reference_id,source_path,display_name,sha256,width,height,mode,alpha,current_consumer,provenance,license_status,approved_use,assets_served,reason,attachment_priority,do_not_copy
D01,docs/03_IDENTIDAD_LIA.md,Identidad canónica de Lía,B203F196EEA3D9A67F2AF615C6735845C03FB99F397F1104CA6A89A1CC944FCB,N/A,N/A,N/A,N/A,GVO/GLOBAL,PROJECT_DOCUMENTATION,NOT_APPLICABLE_DOCUMENTARY,IDENTITY_AUTHORITY,ALL,Autoridad textual de anatomía e identidad,P0,No reinterpretar identidad
D02,public/assets/gvo/shared/lia/asset_manifest_lia_v1.json,Manifest compartido de Lía,9774934BA468418F23A54A3794A9FF715AB0B212879E979D877B24155EEB641B,N/A,N/A,N/A,N/A,GVO/GLOBAL,RUNTIME_MANIFEST_READ_ONLY,NOT_APPLICABLE_DOCUMENTARY,IDENTITY_AUTHORITY,ALL,Catálogo y hashes históricos,P0,No promover ni editar manifest
D03,public/assets/runtime/cover-intro/manifest.json,Manifest Cover Intro,1898820214101B7C5B8E9EC9ABFDD242EED7D199BB6D73A0EAE2D8622C560D89,N/A,N/A,N/A,N/A,COVER_INTRO,RUNTIME_MANIFEST_READ_ONLY,NOT_APPLICABLE_DOCUMENTARY,IDENTITY_AUTHORITY,ALL,Contrato real del consumidor Cover,P0,No copiar slots ni editar runtime
C01,public/assets/gvo/current-used/cover-intro/lia/reference/lia_master_cover_reference_v1.png,Lía master Cover,3387E924A280EDA332744B5F458DCD01468D8C35D33BEDAF1846D29BF5C2E144,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_REFERENCE,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Vista maestra aprobada,P0,No reutilizar binario en Mirador
C02,public/assets/gvo/current-used/cover-intro/lia/poses/lia_pose_idle_v1.png,Cover idle,5EBE67CB6857EB66E8F783C40F809E19C17053726CA600BAAA9DE509D3F50DDF,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,"IDLE,GREET,RESET",Reposo canónico,P0,No copiar encuadre Cover
C03,public/assets/gvo/current-used/cover-intro/lia/poses/lia_pose_greeting_v1.png,Cover greeting,7A25A54FBC96852D0C5E26B4DE1FD470AE708ECCDEF7EF7352D37806E89C0AD5,1086,1448,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,GREET,Saludo sin anatomía humana,P0,No copiar escala o posición
C04,public/assets/gvo/current-used/cover-intro/lia/poses/lia_pose_explain_calm_v1.png,Cover explain calm,17020FCDCE68624DB85FF173869D693D77A009E408859E323FC238D2F90B7064,1086,1448,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_POSE,SPECIFIC_LICENSE_NOT_DOCUMENTED,ACTING_REFERENCE,"GREET,DIRECTION",Acting ceremonial contenido,P1,No convertir en pose direccional final
R01,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_body_bulb_segmented_v1.png,Bulbo segmentado,A32FC8BFD4E6CBC33D200EFC1FE7C4EE1AD217970BCC730EBD5932326AF75685,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R02,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_petal_top_v1.png,Pétalo superior,CF4C1B31291BC76F6B6EC5E6C87827D80EC7EAF5B1632DEDF6FB15BAB9D00515,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
R03,public/assets/gvo/current-used/cover-intro/lia/rig/idle_v1/lia_rig_petal_left_upper_v1.png,Pétalo superior izquierdo,8858768FE51F5EFCF71C8010187A04EBEB04620F45D91EAE87E84B23F12BECB9,941,1672,RGBA,YES,COVER_INTRO,APPROVED_RUNTIME_RIG_LAYER,SPECIFIC_LICENSE_NOT_DOCUMENTED,IDENTITY_AUTHORITY,ALL,Capa canónica controlada,P0,No reconstruir anatomía ni reutilizar binario
