slot_id,pantalla_estacion,estado,emisor_sugerido,tipo_texto,asset_primary,asset_secondary,asset_role,visual_status,atlas_note
CARGA_TITLE_01,Carga inicial,carga_idle,Sistema / ambiente,Título,gvo_atlas_006b_001_carga_actual.png,gvo_atlas_006c_201_ref_carga_inicial.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
CARGA_SUB_01,Carga inicial,carga_progress,Sistema / ambiente,Subtítulo de espera,gvo_atlas_006b_001_carga_actual.png,gvo_atlas_006c_201_ref_carga_inicial.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
CARGA_ACCESSIBLE_01,Carga inicial,carga_accessibility,Sistema / accesibilidad,Descripción accesible,gvo_atlas_006b_001_carga_actual.png,gvo_atlas_006c_201_ref_carga_inicial.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_TITLE_01,Portada,portada_idle,Sistema / interfaz,Título fijo,gvo_atlas_006b_002_portada_inicio_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_CTA_START_01,Portada,portada_idle,Sistema / interfaz,Botón,gvo_atlas_006b_002_portada_inicio_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LIA_INTRO_01,Portada,intro_dialogue_active,Lía,Diálogo principal,gvo_atlas_006b_003_portada_dialogo_01_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LIA_INTRO_02,Portada,intro_dialogue_active,Lía,Diálogo principal,gvo_atlas_006b_003_portada_dialogo_01_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LIA_INTRO_03,Portada,intro_dialogue_active,Lía,Diálogo principal,gvo_atlas_006b_003_portada_dialogo_01_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LIA_INTRO_04,Portada,intro_dialogue_active,Lía,Diálogo principal,gvo_atlas_006b_003_portada_dialogo_01_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
PORTADA_LIA_INTRO_05,Portada,intro_dialogue_active,Lía,Diálogo principal,gvo_atlas_006b_004_portada_dialogo_05_actual.png,gvo_atlas_006c_202_ref_portada_archivo_vivo.png,estado_especifico,cubierto,Imagen representativa compartida por patrón visual o estado.
