reference_id,filename,source_path,bytes,sha256,width,height,format,mode,alpha,alpha_bbox,exact_match_count,classification,canonical,family,notes
I01,final_environment_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I1\final_environment_portrait_v01.webp,157294,1E8B599BE197EE26E346B1B1974CAA571DE42AF4B8587758C801C914C04C1347,1440,2560,WEBP,RGBA,YES,"[0, 0, 1440, 2558]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ENVIRONMENT,Canonical extension and exact audited source
I02,final_environment_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I2\final_environment_landscape_v01.webp,212234,EDB75703A398724B9084D800CF21B888D72B6028C4199DC1D7A2C5F5CC0D1D84,2560,1440,WEBP,RGB,NO,N/A,1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ENVIRONMENT,Canonical extension and exact audited source
I03,final_valley_depth_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I3\final_valley_depth_portrait_v01.webp,108270,F64326254C5215CB44E0F9D93134B425E8806EA41E27556A4BBC40EA36D71E99,1440,2560,WEBP,RGBA,YES,"[0, 284, 1440, 2347]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ENVIRONMENT,Canonical extension and exact audited source
I04,final_valley_depth_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I4\final_valley_depth_landscape_v01.webp,107632,FA9999A33EA636F57FA901D8C06B4FF9694A27F66704DAE7968B9E2DC45EC42B,2560,1440,WEBP,RGBA,YES,"[20, 10, 2480, 1439]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ENVIRONMENT,Canonical extension and exact audited source
I05,final_mirador_foreground_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I5\final_mirador_foreground_portrait_v01.webp,124114,19290CF1995A8FAB2B643BEBC88126D3BA6E67A516A43877E1AA79A16E11427D,1440,1280,WEBP,RGBA,YES,"[293, 5, 1147, 1273]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ENVIRONMENT,Canonical extension and exact audited source
I06,final_mirador_foreground_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I6\final_mirador_foreground_landscape_v01.webp,168898,455EDBA68398FBB8BC1A508C42D0EB1BC7D2B6AFC236BF5F8928C2356FD60544,2560,900,WEBP,RGBA,YES,"[605, 0, 1955, 899]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ENVIRONMENT,Canonical extension and exact audited source
I07,final_access_world1_root_v01.webp,C:\Users\JOSE DAVID\Downloads\I7\final_access_world1_root_v01.webp,375436,F1BE36246795D8A89241AA708D8E8ECE29FA5C98F3F0DCCAF5C2BD5F8F1BF046,1024,1024,WEBP,RGBA,YES,"[15, 91, 949, 983]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ACCESS,Canonical extension and exact audited source
I08,final_access_world2_pulse_v01.webp,C:\Users\JOSE DAVID\Downloads\I8\final_access_world2_pulse_v01.webp,297082,6EE6B093DEE9ABBEA96FDA66C6C80DB3601CDF588A34FD062D0F844466EDD7B6,1024,1024,WEBP,RGBA,YES,"[81, 64, 944, 959]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ACCESS,Canonical extension and exact audited source
I09,final_access_world3_notebook_v01.webp,C:\Users\JOSE DAVID\Downloads\I9\final_access_world3_notebook_v01.webp,238198,2EFAB6C3CA5430D7BA1F0113AA4E19A4B99CE6D4AF5C3212371AC86314039CD3,1024,1024,WEBP,RGBA,YES,"[96, 57, 920, 854]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ACCESS,Canonical extension and exact audited source
I10,final_access_world4_system_v01.webp,C:\Users\JOSE DAVID\Downloads\I10\final_access_world4_system_v01.webp,254472,5472BDCA276DBD851D0C3C7C48A96038A5D7544AA13EF4A51BE7BC4DCC2E2B9D,1024,1024,WEBP,RGBA,YES,"[15, 50, 965, 976]",1,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,YES,ACCESS,Canonical extension and exact audited source
