visual_group,bloque,estados_cubiertos,slots_count,suggested_asset_name,priority,tanda,reason
final_credits,Pantalla final — Mirador,final_credits,1,gvo_atlas_tanda_3_final_credits.png,baja,TANDA_3,"Mirador final requiere estados específicos para revisión libre, reinicio o créditos."
final_restart_confirm,Pantalla final — Mirador,final_restart | final_restart_confirm,5,gvo_atlas_tanda_3_final_restart_confirm.png,media,TANDA_3,"Mirador final requiere estados específicos para revisión libre, reinicio o créditos."
final_review_free,Pantalla final — Mirador,final_review | final_access_i_selected | final_access_ii_selected | final_access_iii_selected | final_access_iv_selected | final_access_v_selected | final_return,19,gvo_atlas_tanda_3_final_review_free.png,alta,TANDA_3,"Mirador final requiere estados específicos para revisión libre, reinicio o créditos."
w2_acondicionamiento_active,Estación II — Pulso invisible,w2_acondicionamiento_available | w2_acondicionamiento_active,4,gvo_atlas_tanda_2_w2_acondicionamiento_active.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w2_captura_active,Estación II — Pulso invisible,w2_captura_available | w2_captura_active,4,gvo_atlas_tanda_2_w2_captura_active.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w2_complete,Estación II — Pulso invisible,w2_complete,3,gvo_atlas_tanda_2_w2_complete.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w2_layer_locked,Estación II — Pulso invisible,w2_layer_locked,2,gvo_atlas_tanda_2_w2_layer_locked.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w2_mapeo_active,Estación II — Pulso invisible,w2_mapeo_available | w2_mapeo_active,4,gvo_atlas_tanda_2_w2_mapeo_active.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w2_planta_viva_active,Estación II — Pulso invisible,w2_planta_available | w2_planta_active,4,gvo_atlas_tanda_2_w2_planta_viva_active.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w2_resultado_mediado_active,Estación II — Pulso invisible,w2_resultado_available | w2_resultado_active,4,gvo_atlas_tanda_2_w2_resultado_mediado_active.png,alta,TANDA_2,Mundo II necesita imagen específica para distinguir capas y estados del patrón conceptual base.
w3_ajustado_complete,Estación III — Cuaderno Pixel,w3_ajustado_available | w3_ajustado_active | w3_complete,6,gvo_atlas_tanda_2_w3_ajustado_complete.png,media,TANDA_2,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.
w3_block_locked,Estación III — Cuaderno Pixel,w3_block_locked,2,gvo_atlas_tanda_2_w3_block_locked.png,media,TANDA_2,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.
w3_planta_review,Estación III — Cuaderno Pixel,w3_planta_available | w3_planta_active,4,gvo_atlas_tanda_2_w3_planta_review.png,media,TANDA_2,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.
w3_prototipo_review,Estación III — Cuaderno Pixel,w3_prototipo_available | w3_prototipo_active,4,gvo_atlas_tanda_2_w3_prototipo_review.png,media,TANDA_2,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.
w3_senal_review,Estación III — Cuaderno Pixel,w3_senal_available | w3_senal_active,4,gvo_atlas_tanda_2_w3_senal_review.png,media,TANDA_2,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.
w4_complete,Estación IV — Mesa de Sistema,w4_complete,3,gvo_atlas_tanda_3_w4_complete.png,media,TANDA_3,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial."
w4_node_chain_overview,Estación IV — Mesa de Sistema,w4_intro | w4_planta_available | w4_bionosificador_available | w4_esp32_available | w4_midi_available | w4_wifi_udp_available | w4_router_available | w4_sistema_central_available | w4_sonido_available,11,gvo_atlas_tanda_2_w4_node_chain_overview.png,media,TANDA_2,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial."
w4_node_locked,Estación IV — Mesa de Sistema,w4_node_locked,2,gvo_atlas_tanda_3_w4_node_locked.png,media,TANDA_3,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial."
w4_technical_node_active,Estación IV — Mesa de Sistema,w4_planta_active | w4_bionosificador_active | w4_esp32_active | w4_midi_active | w4_wifi_udp_active | w4_router_active | w4_sistema_central_active | w4_sonido_active,24,gvo_atlas_tanda_2_w4_technical_node_active.png,alta,TANDA_2,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial."
w5_area_active,Estación V — Mapa del Presente,w5_plantas_available | w5_plantas_active | w5_sistema_available | w5_sistema_active | w5_espacio_available | w5_espacio_active | w5_visitante_available | w5_visitante_active,16,gvo_atlas_tanda_3_w5_area_active.png,alta,TANDA_3,Mundo V requiere diferenciar áreas activas y cierre del mapa del presente.
w5_area_locked,Estación V — Mapa del Presente,w5_area_locked,2,gvo_atlas_tanda_3_w5_area_locked.png,baja,TANDA_3,Mundo V requiere diferenciar áreas activas y cierre del mapa del presente.
w5_complete,Estación V — Mapa del Presente,w5_complete,3,gvo_atlas_tanda_3_w5_complete.png,media,TANDA_3,Mundo V requiere diferenciar áreas activas y cierre del mapa del presente.
