reference_id,source_path,display_name,sha256,width,height,mode,alpha,current_consumer,provenance,license_status,approved_use,assets_served,reason,attachment_priority,do_not_copy
PR01,C:\Users\JOSE DAVID\Downloads\I1\final_environment_portrait_v01.webp,final_environment_portrait_v01.webp,1E8B599BE197EE26E346B1B1974CAA571DE42AF4B8587758C801C914C04C1347,1440,2560,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,"Approved production evidence for Mirador materiality, scale, contrast and composition; not runtime.",COMMON:01,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR02,C:\Users\JOSE DAVID\Downloads\I2\final_environment_landscape_v01.webp,final_environment_landscape_v01.webp,EDB75703A398724B9084D800CF21B888D72B6028C4199DC1D7A2C5F5CC0D1D84,2560,1440,RGB,no,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,"Approved production evidence for Mirador materiality, scale, contrast and composition; not runtime.",COMMON:02,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR03,C:\Users\JOSE DAVID\Downloads\I3\final_valley_depth_portrait_v01.webp,final_valley_depth_portrait_v01.webp,F64326254C5215CB44E0F9D93134B425E8806EA41E27556A4BBC40EA36D71E99,1440,2560,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,"Approved production evidence for Mirador materiality, scale, contrast and composition; not runtime.",COMMON:03,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR04,C:\Users\JOSE DAVID\Downloads\I4\final_valley_depth_landscape_v01.webp,final_valley_depth_landscape_v01.webp,FA9999A33EA636F57FA901D8C06B4FF9694A27F66704DAE7968B9E2DC45EC42B,2560,1440,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,"Approved production evidence for Mirador materiality, scale, contrast and composition; not runtime.",COMMON:04,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR05,C:\Users\JOSE DAVID\Downloads\I5\final_mirador_foreground_portrait_v01.webp,final_mirador_foreground_portrait_v01.webp,19290CF1995A8FAB2B643BEBC88126D3BA6E67A516A43877E1AA79A16E11427D,1440,1280,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,"Approved production evidence for Mirador materiality, scale, contrast and composition; not runtime.",COMMON:05,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR06,C:\Users\JOSE DAVID\Downloads\I6\final_mirador_foreground_landscape_v01.webp,final_mirador_foreground_landscape_v01.webp,455EDBA68398FBB8BC1A508C42D0EB1BC7D2B6AFC236BF5F8928C2356FD60544,2560,900,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,"Approved production evidence for Mirador materiality, scale, contrast and composition; not runtime.",COMMON:06,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR07,C:\Users\JOSE DAVID\Downloads\I7\final_access_world1_root_v01.webp,final_access_world1_root_v01.webp,F1BE36246795D8A89241AA708D8E8ECE29FA5C98F3F0DCCAF5C2BD5F8F1BF046,1024,1024,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,Approved access production evidence for family scale and contrast; do not reuse as plate art.,COMMON:07,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR08,C:\Users\JOSE DAVID\Downloads\I8\final_access_world2_pulse_v01.webp,final_access_world2_pulse_v01.webp,6EE6B093DEE9ABBEA96FDA66C6C80DB3601CDF588A34FD062D0F844466EDD7B6,1024,1024,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,Approved access production evidence for family scale and contrast; do not reuse as plate art.,COMMON:08,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR09,C:\Users\JOSE DAVID\Downloads\I9\final_access_world3_notebook_v01.webp,final_access_world3_notebook_v01.webp,2EFAB6C3CA5430D7BA1F0113AA4E19A4B99CE6D4AF5C3212371AC86314039CD3,1024,1024,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,Approved access production evidence for family scale and contrast; do not reuse as plate art.,COMMON:09,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
PR10,C:\Users\JOSE DAVID\Downloads\I10\final_access_world4_system_v01.webp,final_access_world4_system_v01.webp,5472BDCA276DBD851D0C3C7C48A96038A5D7544AA13EF4A51BE7BC4DCC2E2B9D,1024,1024,RGBA,yes,NOT_RUNTIME,Produced and human-approved under 021D/021E; audited in Downloads,NOT_DOCUMENTED / H07_OPEN,APPROVED_PRODUCTION_REFERENCE,FINAL-PLATE-TITLE-001|FINAL-PLATE-CREDITS-001|FINAL-PLATE-ACTION-001|FINAL-PLATE-DIALOG-001,Approved access production evidence for family scale and contrast; do not reuse as plate art.,COMMON:10,"Do not edit, recompress, promote or use as runtime; reference-pack copies must remain byte-identical."
