ID estable,Filename exacto propuesto,Categoría A–G,Función narrativa,Función visual,Consumidor previsto,Estado o pantalla,Canvas,Formato,Opaco/transparente,Orientación,Capa/z-order,Referencias,Reutilización,Movimiento,Criterio asset/código,Dependencias,Riesgo,Prioridad,Criterios de aceptación
FINAL-ENV-P-001,final_environment_portrait_v01.webp,C — NUEVO ASSET OBLIGATORIO,Cierre contemplativo,Valle y cielo base,FinalEnvironmentLayer,/final,1440×2560,WEBP,Opaco,Portrait,z0,08_pantalla_final_mirador.png,Nuevo; la referencia no se promueve,NO NECESARIO,Asset por materialidad y detalle,Art Bible y cámara portrait aprobadas,Cámara o texto horneado,P0,Sin texto; safe core central; <=900 KiB; aprobación humana
FINAL-ENV-L-001,final_environment_landscape_v01.webp,C — NUEVO ASSET OBLIGATORIO,Cierre contemplativo,Valle y cielo base 16:9,FinalEnvironmentLayer,/final,2560×1440,WEBP,Opaco,Landscape,z0,Referencia Mirador y wireframes 16:9,Nuevo; no recorte del portrait,NO NECESARIO,Asset por cámara independiente,Art Bible y cámara landscape aprobadas,Derivar por recorte,P0,Sin texto; cinco anchors legibles en 667×375; <=900 KiB
FINAL-MIRADOR-P-001,final_mirador_foreground_portrait_v01.webp,C — NUEVO ASSET OBLIGATORIO,Sitúa al visitante en el mirador,"Piedra, barandal y plantas frontales",FinalForegroundLayer,/final,1440×1280,WEBP,Transparente,Portrait,z70,Materialidad de referencia,Nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por silueta y oclusión,Cámara portrait y alpha bbox,Tapar controles o Lía,P0,Alpha real; no texto; baseline documentado; <=600 KiB
FINAL-MIRADOR-L-001,final_mirador_foreground_landscape_v01.webp,C — NUEVO ASSET OBLIGATORIO,Sitúa al visitante en el mirador,"Piedra, barandal y plantas frontales 16:9",FinalForegroundLayer,/final,2560×900,WEBP,Transparente,Landscape,z70,Materialidad de referencia,Nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por silueta y oclusión,Cámara landscape y alpha bbox,Reducir alto útil,P0,No invade targets; baseline documentado; <=600 KiB
FINAL-DEPTH-P-001,final_valley_depth_portrait_v01.webp,C — NUEVO ASSET OBLIGATORIO,Une los cinco mundos,Plano medio de río/camino y colinas,FinalDepthLayer,/final,1440×2560,WEBP,Transparente,Portrait,z10,Eje sol-río-Lía,Nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por profundidad pictórica,FINAL-ENV-P-001,Costuras con fondo,P1,Alpha limpio; parallax <=1.5%; sin texto; <=450 KiB
FINAL-DEPTH-L-001,final_valley_depth_landscape_v01.webp,C — NUEVO ASSET OBLIGATORIO,Une los cinco mundos,Plano medio de río/camino 16:9,FinalDepthLayer,/final,2560×1440,WEBP,Transparente,Landscape,z10,Eje sol-río-Lía,Nuevo,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset por profundidad pictórica,FINAL-ENV-L-001,Costuras con fondo,P1,Core protegido visible a 667×375; <=450 KiB
FINAL-OCC-P-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Enmarca sin encerrar,Oclusores vegetales laterales,FinalForegroundLayer,/final,PENDIENTE_DE_DECISIÓN,WEBP/PNG,Transparente,Portrait,z60,Árboles laterales de referencia,Nuevo solo si prueba estática lo exige,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset si la silueta orgánica aporta profundidad,Composición estática portrait,Ruido y targets ocultos,P2,Prueba A/B humana; excluir si reduce claridad
FINAL-OCC-L-001,PENDIENTE_DE_DECISIÓN,"F — CONDICIONAL, REQUIERE PRUEBA",Enmarca sin encerrar,Oclusores laterales 16:9,FinalForegroundLayer,/final,PENDIENTE_DE_DECISIÓN,WEBP/PNG,Transparente,Landscape,z60,Mockup revisión libre,Nuevo solo si prueba estática lo exige,ASSET ESTÁTICO ANIMADO POR TRANSFORM,Asset si aporta profundidad,Composición 667×375,Tapar accesos I/V,P2,Prueba A/B humana en 667×375
FINAL-ATM-HAZE-001,FinalAtmosphereLayer.tsx,D — CÓDIGO DETERMINISTA,Suaviza profundidad,Haze graduado,FinalAtmosphereLayer,/final,Viewport contractual,CSS/SVG,Transparente,Ambas,z15,Haze de Mundo IV como patrón técnico,No reutiliza binario,CSS/SVG/JS determinista,Código si basta gradiente medible,Paleta documental,Contraste reducido,P1,No cubre texto; intensidad parametrizada; cero loop
FINAL-ATM-LIGHT-001,finalLighting.ts,D — CÓDIGO DETERMINISTA,Atardecer cálido,Gradientes y exposición por plano,FinalAtmosphereLayer,/final,Viewport contractual,TypeScript/CSS,NO_APLICA_CÓDIGO,Ambas,z16,Paleta extraída 021B,No duplica asset,CSS/SVG/JS determinista,Código para valores medibles,Art Bible,Bloom excesivo,P1,Contraste AA y glow acotado; sin recursos externos
