reference_id,source_path,display_name,sha256,width,height,mode,alpha,current_consumer,provenance,license_status,approved_use,assets_served,reason,attachment_priority,do_not_copy
C01,docs/narrative/visual_refs/08_pantalla_final_mirador.png,Referencia canónica Mirador,01A3CFC3B1B0398E688A7E609E1833A9663A3956D4F13AE88808DA7B2FA8DB93,941,1672,RGB,no,Documentación narrativa,Repositorio; auditada por 021B y aprobada como dirección por 021C,NO_DOCUMENTADA; uso interno sólo como dirección artística,ART_DIRECTION_ONLY,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001;FINAL-PLATE-LABEL-001,"Cámara, tono, materialidad y patrón de cinco accesos",COMMON:1,"YES; no copiar layout, texto, portales, Lía u ornamento literal"
E01,C:/Users/JOSE DAVID/Downloads/I1/final_environment_portrait_v01.webp,Environment aprobado — final_environment_portrait_v01.webp,1E8B599BE197EE26E346B1B1974CAA571DE42AF4B8587758C801C914C04C1347,1440,2560,RGBA,yes,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Producción aprobada localizada en Descargas y auditada por GVO_FINAL_021E,PRODUCTION_REFERENCE; no licencia de reutilización binaria inferida,COMPOSITION_ALIGNMENT_REFERENCE,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001,"Cámara portrait aprobada, paleta, horizonte y escala ambiental",COMMON:2,"YES; usar cámara, paleta, escala y encaje; no copiar píxeles al asset nuevo"
E02,C:/Users/JOSE DAVID/Downloads/I2/final_environment_landscape_v01.webp,Environment aprobado — final_environment_landscape_v01.webp,EDB75703A398724B9084D800CF21B888D72B6028C4199DC1D7A2C5F5CC0D1D84,2560,1440,RGB,no,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Producción aprobada localizada en Descargas y auditada por GVO_FINAL_021E,PRODUCTION_REFERENCE; no licencia de reutilización binaria inferida,COMPOSITION_ALIGNMENT_REFERENCE,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001,"Cámara landscape aprobada, paleta, horizonte y escala ambiental",COMMON:3,"YES; usar cámara, paleta, escala y encaje; no copiar píxeles al asset nuevo"
E03,C:/Users/JOSE DAVID/Downloads/I3/final_valley_depth_portrait_v01.webp,Environment aprobado — final_valley_depth_portrait_v01.webp,F64326254C5215CB44E0F9D93134B425E8806EA41E27556A4BBC40EA36D71E99,1440,2560,RGBA,yes,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Producción aprobada localizada en Descargas y auditada por GVO_FINAL_021E,PRODUCTION_REFERENCE; no licencia de reutilización binaria inferida,COMPOSITION_ALIGNMENT_REFERENCE,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001,Profundidad portrait aprobada y relación de alpha con los accesos,COMMON:4,"YES; usar cámara, paleta, escala y encaje; no copiar píxeles al asset nuevo"
E04,C:/Users/JOSE DAVID/Downloads/I4/final_valley_depth_landscape_v01.webp,Environment aprobado — final_valley_depth_landscape_v01.webp,FA9999A33EA636F57FA901D8C06B4FF9694A27F66704DAE7968B9E2DC45EC42B,2560,1440,RGBA,yes,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Producción aprobada localizada en Descargas y auditada por GVO_FINAL_021E,PRODUCTION_REFERENCE; no licencia de reutilización binaria inferida,COMPOSITION_ALIGNMENT_REFERENCE,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001,Profundidad landscape aprobada y relación de alpha con los accesos,COMMON:5,"YES; usar cámara, paleta, escala y encaje; no copiar píxeles al asset nuevo"
E05,C:/Users/JOSE DAVID/Downloads/I5/final_mirador_foreground_portrait_v01.webp,Environment aprobado — final_mirador_foreground_portrait_v01.webp,19290CF1995A8FAB2B643BEBC88126D3BA6E67A516A43877E1AA79A16E11427D,1440,1280,RGBA,yes,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Producción aprobada localizada en Descargas y auditada por GVO_FINAL_021E,PRODUCTION_REFERENCE; no licencia de reutilización binaria inferida,COMPOSITION_ALIGNMENT_REFERENCE,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001;FINAL-PLATE-LABEL-001,"Foreground portrait aprobado para encaje, oclusión y materialidad",COMMON:6,"YES; usar cámara, paleta, escala y encaje; no copiar píxeles al asset nuevo"
E06,C:/Users/JOSE DAVID/Downloads/I6/final_mirador_foreground_landscape_v01.webp,Environment aprobado — final_mirador_foreground_landscape_v01.webp,455EDBA68398FBB8BC1A508C42D0EB1BC7D2B6AFC236BF5F8928C2356FD60544,2560,900,RGBA,yes,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Producción aprobada localizada en Descargas y auditada por GVO_FINAL_021E,PRODUCTION_REFERENCE; no licencia de reutilización binaria inferida,COMPOSITION_ALIGNMENT_REFERENCE,FINAL-ACCESS-I-001;FINAL-ACCESS-II-001;FINAL-ACCESS-III-001;FINAL-ACCESS-IV-001;FINAL-ACCESS-V-001;FINAL-PLATE-LABEL-001,"Foreground landscape aprobado para encaje, oclusión y materialidad",COMMON:7,"YES; usar cámara, paleta, escala y encaje; no copiar píxeles al asset nuevo"
W1C,docs/visual/final/021b-preproduction/final_021b_world1_memory_candidates.png,Contact sheet Mundo I,305E77177EE1CCB9F4BBE3E02BF1D8A8B04B8BC933BCCD88709BE0A6CF2AD76C,1600,1224,RGB,no,GVO_FINAL_021B documentación,Generación documental 021B; aprobación visual 021C,PROJECT_DOCUMENTATION,IDENTITY_REFERENCE,FINAL-ACCESS-I-001,Memoria visual de Raíz y prohibiciones de copia,ACCESS-I:1,"YES; documento, no arte"
W1P,public/assets/gvo/current-used/world-1-root/plant/world1_root_young_plant_approved_v1.png,W1 brote joven,DCA068C4BF01DAA907B98EAB6A64C7810C4B87E479B10CBB133CDA5492C6D10A,798,987,RGBA,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,NO_DOCUMENTADA; referencia solamente,IDENTITY_REFERENCE,FINAL-ACCESS-I-001,Silueta de brote vivo,ACCESS-I:2,YES; no copiar silueta ni binario
W1R,public/assets/gvo/current-used/world-1-root/roots/world1_root_roots_base_approved_v1.png,W1 raíces,FB47E049D43CE1FA0354FF9133E4F873B1095117496768B30168C9AA07E0F662,941,1672,RGBA,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,NO_DOCUMENTADA; referencia solamente,IDENTITY_REFERENCE,FINAL-ACCESS-I-001,Ramificación y lectura de raíz,ACCESS-I:3,YES; no copiar forma ni binario
