reference_id,filename,source_path,match_count,bytes,sha256,width,height,format,mode,alpha,alpha_bbox,transparent_pixels,status,classification,note
PR01,final_environment_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I1\final_environment_portrait_v01.webp,1,157294,1E8B599BE197EE26E346B1B1974CAA571DE42AF4B8587758C801C914C04C1347,1440,2560,WEBP,RGBA,yes,"[0,0,1440,2558]",2880,PASS_WITH_DOCUMENTED_ALPHA_DEVIATION,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,"Contains exactly two fully transparent rows (2880 px); preserved, not repaired."
PR02,final_environment_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I2\final_environment_landscape_v01.webp,1,212234,EDB75703A398724B9084D800CF21B888D72B6028C4199DC1D7A2C5F5CC0D1D84,2560,1440,WEBP,RGB,no,"""""",0,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR03,final_valley_depth_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I3\final_valley_depth_portrait_v01.webp,1,108270,F64326254C5215CB44E0F9D93134B425E8806EA41E27556A4BBC40EA36D71E99,1440,2560,WEBP,RGBA,yes,"[0,284,1440,2347]",3446570,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR04,final_valley_depth_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I4\final_valley_depth_landscape_v01.webp,1,107632,FA9999A33EA636F57FA901D8C06B4FF9694A27F66704DAE7968B9E2DC45EC42B,2560,1440,WEBP,RGBA,yes,"[20,10,2480,1439]",3280312,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR05,final_mirador_foreground_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I5\final_mirador_foreground_portrait_v01.webp,1,124114,19290CF1995A8FAB2B643BEBC88126D3BA6E67A516A43877E1AA79A16E11427D,1440,1280,WEBP,RGBA,yes,"[293,5,1147,1273]",1617830,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR06,final_mirador_foreground_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I6\final_mirador_foreground_landscape_v01.webp,1,168898,455EDBA68398FBB8BC1A508C42D0EB1BC7D2B6AFC236BF5F8928C2356FD60544,2560,900,WEBP,RGBA,yes,"[605,0,1955,899]",2033076,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR07,final_access_world1_root_v01.webp,C:\Users\JOSE DAVID\Downloads\I7\final_access_world1_root_v01.webp,1,375436,F1BE36246795D8A89241AA708D8E8ECE29FA5C98F3F0DCCAF5C2BD5F8F1BF046,1024,1024,WEBP,RGBA,yes,"[15,91,949,983]",533010,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR08,final_access_world2_pulse_v01.webp,C:\Users\JOSE DAVID\Downloads\I8\final_access_world2_pulse_v01.webp,1,297082,6EE6B093DEE9ABBEA96FDA66C6C80DB3601CDF588A34FD062D0F844466EDD7B6,1024,1024,WEBP,RGBA,yes,"[81,64,944,959]",520149,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR09,final_access_world3_notebook_v01.webp,C:\Users\JOSE DAVID\Downloads\I9\final_access_world3_notebook_v01.webp,1,238198,2EFAB6C3CA5430D7BA1F0113AA4E19A4B99CE6D4AF5C3212371AC86314039CD3,1024,1024,WEBP,RGBA,yes,"[96,57,920,854]",608841,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR10,final_access_world4_system_v01.webp,C:\Users\JOSE DAVID\Downloads\I10\final_access_world4_system_v01.webp,1,254472,5472BDCA276DBD851D0C3C7C48A96038A5D7544AA13EF4A51BE7BC4DCC2E2B9D,1024,1024,WEBP,RGBA,yes,"[15,50,965,976]",565613,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR11,final_access_world5_map_v01.webp,C:\Users\JOSE DAVID\Downloads\I11\final_access_world5_map_v01.webp,1,354658,A034AA6940E2043870FF3EE0B6C833DF4F3C3F15CFD386C846DB78AA1CBFC07F,1024,1024,WEBP,RGBA,yes,"[96,64,931,988]",538049,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
PR12,final_access_label_backplate_v01.png,C:\Users\JOSE DAVID\Downloads\I12\final_access_label_backplate_v01.png,1,314629,36257FEC3E1E69D58A9F5E7CA2543F983D309776E45F757D1A81A7CAECFA3698,1024,256,PNG,RGBA,yes,"[47,26,976,256]",82600,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,Exact canonical production reference; not runtime.
