reference_id,source_path,display_name,sha256,width,height,mode,alpha,current_consumer,provenance,license_status,approved_use,assets_served,reason,attachment_priority,do_not_copy
R01,docs/narrative/visual_refs/08_pantalla_final_mirador.png,Referencia canónica Mirador,01A3CFC3B1B0398E688A7E609E1833A9663A3956D4F13AE88808DA7B2FA8DB93,941,1672,RGB,no,docs narrativos,Repositorio/entrega escritor; auditada por 021B y aprobada como dirección por 021C,NO_DOCUMENTADA; uso interno sólo como dirección artística,ART_DIRECTION_ONLY,FINAL-ENV-P-001;FINAL-ENV-L-001;FINAL-DEPTH-P-001;FINAL-DEPTH-L-001;FINAL-MIRADOR-P-001;FINAL-MIRADOR-L-001,"Cámara elevada, eje sol-río, tono, materialidad y relación cálido/frío",ENV-P:1;ENV-L:1;DEPTH-P:4;DEPTH-L:4;MIRADOR-P:1;MIRADOR-L:1,"YES; no copiar layout, texto, iconos, accesos, Lía ni ornamento literal"
R02,docs/narrative/atlas_visual_assets_gvo_v1/gvo_atlas_006f_306_final_revision_libre_mockup.png,Atlas Mirador revisión libre,647D70CE5E3A0A6460A71264DEF02E39C4BB9DAA491D51BB29DA03CE7EFC037C,941,1672,RGB,no,Atlas documental,Atlas visual GVO; auditada por 021B y aprobada como dirección por 021C,NO_DOCUMENTADA; uso interno sólo como composición,COMPOSITION_REFERENCE,FINAL-MIRADOR-P-001;FINAL-MIRADOR-L-001,"Relación mirador-valle, oclusores laterales y jerarquía del plano físico",MIRADOR-P:3;MIRADOR-L:3,"YES; no copiar portales, texto, Lía, botones ni detalle literal"
R03,docs/visual/final/021b-preproduction/final_021b_camera_375x667.png,Wireframe 375x667,233BB3CE129DB4115C9E880FF6EFB3264615566D879247DD3E806E7006146A27,375,667,RGB,no,GVO_FINAL_021B documentación,Generado determinísticamente por GVO_FINAL_021B,PROJECT_DOCUMENTATION,COMPOSITION_REFERENCE,FINAL-ENV-P-001;FINAL-DEPTH-P-001;FINAL-MIRADOR-P-001,"Gate portrait compacto, core y exclusiones",DERIVATION_ONLY,"YES; guía técnica, no arte"
R04,docs/visual/final/021b-preproduction/final_021b_camera_390x844.png,Wireframe 390x844,04926572A496AC959A7162DE9354DC069403DA934A1C31658A7492364A8239B0,390,844,RGB,no,GVO_FINAL_021B documentación,Generado determinísticamente por GVO_FINAL_021B,PROJECT_DOCUMENTATION,COMPOSITION_REFERENCE,FINAL-ENV-P-001;FINAL-DEPTH-P-001;FINAL-MIRADOR-P-001,Respiración vertical portrait,DERIVATION_ONLY,"YES; guía técnica, no arte"
R05,docs/visual/final/021b-preproduction/final_021b_camera_667x375.png,Wireframe 667x375,B138BCB918F2C3DADDA5153832DB7D756ADAD719C96A654875C1B5E01F1092C3,667,375,RGB,no,GVO_FINAL_021B documentación,Generado determinísticamente por GVO_FINAL_021B,PROJECT_DOCUMENTATION,COMPOSITION_REFERENCE,FINAL-ENV-L-001;FINAL-DEPTH-L-001;FINAL-MIRADOR-L-001,Gate landscape de alto crítico,DERIVATION_ONLY,"YES; guía técnica, no arte"
R06,docs/visual/final/021b-preproduction/final_021b_camera_844x390.png,Wireframe 844x390,84B26D487129C7B1EE043F4A7780ABC7CE89CFCC3005C7C09035E91D46EA7B35,844,390,RGB,no,GVO_FINAL_021B documentación,Generado determinísticamente por GVO_FINAL_021B,PROJECT_DOCUMENTATION,COMPOSITION_REFERENCE,FINAL-ENV-L-001;FINAL-DEPTH-L-001;FINAL-MIRADOR-L-001,Landscape mobile amplio,DERIVATION_ONLY,"YES; guía técnica, no arte"
R07,docs/visual/final/021b-preproduction/final_021b_camera_1024x768.png,Wireframe 1024x768,D6BD5B713C295374E91CFF132CC606A637D6969B5025DFCAEADF9C800A7F72BC,1024,768,RGB,no,GVO_FINAL_021B documentación,Generado determinísticamente por GVO_FINAL_021B,PROJECT_DOCUMENTATION,COMPOSITION_REFERENCE,FINAL-ENV-L-001;FINAL-DEPTH-L-001;FINAL-MIRADOR-L-001,Derivación 4:3 desde cámara landscape,DERIVATION_ONLY,"YES; guía técnica, no arte"
R08,docs/visual/final/021b-preproduction/final_021b_camera_1365x768.png,Wireframe 1365x768,C3555FC781ADCF7DA32E652FC4CB63E2FF0E518EA206A27B29F35FBC32A93E10,1365,768,RGB,no,GVO_FINAL_021B documentación,Generado determinísticamente por GVO_FINAL_021B,PROJECT_DOCUMENTATION,COMPOSITION_REFERENCE,FINAL-ENV-L-001;FINAL-DEPTH-L-001;FINAL-MIRADOR-L-001,Landscape 16:9 completo,DERIVATION_ONLY,"YES; guía técnica, no arte"
R09,public/assets/gvo/current-used/world-4-root/environment/world4_environment_base_v01.webp,W4 base ambiental,3EA217DD2CD32A60B975AAAC004A0939722B964043824C2831BB077150177B5F,1536,1536,RGB,no,World4Stage,W4 runtime HUMAN_APPROVED; fuente versionada y hash inventariado,NO_DOCUMENTADA; no reutilización binaria,PALETTE_REFERENCE,FINAL-ENV-P-001;FINAL-ENV-L-001,Sombra fría contenida y ausencia de ruido uniforme,OPTIONAL_NOT_REQUIRED,YES; no copiar textura ni binario
R10,public/assets/gvo/current-used/world-4-root/environment/world4_rear_depth_plane_v01.png,W4 plano de profundidad,3CD13E9EC67E65CC27E6800A56D6F43D2080543B5BC1A3E9E209B95918D76A8D,1536,1536,RGBA,yes,World4Stage,W4 runtime HUMAN_APPROVED; fuente versionada y hash inventariado,NO_DOCUMENTADA; no reutilización binaria,MATERIAL_REFERENCE,FINAL-DEPTH-P-001;FINAL-DEPTH-L-001,Ejemplo técnico de plano alpha independiente,DEPTH-P:2;DEPTH-L:2,"YES; tomar separación de capa, no forma ni textura"
