asset,path real,hash,dimensiones,alpha,consumidor actual,licencia/procedencia,compatible técnicamente,compatible artísticamente,decisión A/B/F/G,nuevo consumidor permitido,riesgo
08_pantalla_final_mirador.png,docs/narrative/visual_refs/08_pantalla_final_mirador.png,01A3CFC3B1B0398E688A7E609E1833A9663A3956D4F13AE88808DA7B2FA8DB93,941×1672,no,docs narrativos,Repositorio/entrega escritor; licencia específica NO DOCUMENTADA,NO COMO ASSET RUNTIME,SÍ COMO DIRECCIÓN; NO COMO ARTE FINAL,B,NO; documentación solamente,Promover un mockup/referencia sin procedencia ni licencia cerradas
gvo_atlas_006f_306_final_revision_libre_mockup.png,docs/narrative/atlas_visual_assets_gvo_v1/gvo_atlas_006f_306_final_revision_libre_mockup.png,647D70CE5E3A0A6460A71264DEF02E39C4BB9DAA491D51BB29DA03CE7EFC037C,941×1672,no,Atlas documental,Atlas visual; licencia específica NO DOCUMENTADA,NO COMO ASSET RUNTIME,SÍ COMO DIRECCIÓN; NO COMO ARTE FINAL,B,NO; documentación solamente,Promover un mockup/referencia sin procedencia ni licencia cerradas
gvo_atlas_006f_307_final_confirmar_reinicio_mockup.png,docs/narrative/atlas_visual_assets_gvo_v1/gvo_atlas_006f_307_final_confirmar_reinicio_mockup.png,F7A179B85138D44EF4799A7970E230C3E4C24E9814A1954BBF984486CA9258D7,941×1672,no,Atlas documental,Atlas visual; licencia específica NO DOCUMENTADA,NO COMO ASSET RUNTIME,SÍ COMO DIRECCIÓN; NO COMO ARTE FINAL,B,NO; documentación solamente,Promover un mockup/referencia sin procedencia ni licencia cerradas
lia_pose_idle_v1.png,public/assets/gvo/current-used/cover-intro/lia/poses/lia_pose_idle_v1.png,5EBE67CB6857EB66E8F783C40F809E19C17053726CA600BAAA9DE509D3F50DDF,941×1672,yes,CoverIntroScreen/World2Root,Manifest Cover; biblioteca Lía,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
lia_pose_greeting_v1.png,public/assets/gvo/current-used/cover-intro/lia/poses/lia_pose_greeting_v1.png,7A25A54FBC96852D0C5E26B4DE1FD470AE708ECCDEF7EF7352D37806E89C0AD5,1086×1448,yes,Cover/W4/W5,Manifest Cover; biblioteca Lía,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
lia_pose_point_portal_1_v1.png,public/assets/gvo/current-used/cover-intro/lia/poses/lia_pose_point_portal_1_v1.png,00618770EE7B259DCB867A3F6758B7E0697A7D851967986A79D4AD3F8B3B1353,1024×1536,yes,CoverIntroScreen/World2Root,Manifest Cover; biblioteca Lía,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
lia_root_idle_approved_v1.png,public/assets/gvo/current-used/world-1-root/lia/lia_root_idle_approved_v1.png,39A858C4691928EFFEA8D0168F5B806C9A179C57ECE44FA468B4B7CE3A47489A,1080×1920,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
lia_root_point_relation_approved_v1.png,public/assets/gvo/current-used/world-1-root/lia/lia_root_point_relation_approved_v1.png,828D747B71A2089649F2E516700CEAE4F95AAE4869EAFFE1968F36380C3EC0D8,1080×1920,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
lia_root_ready_continue_approved_v1.png,public/assets/gvo/current-used/world-1-root/lia/lia_root_ready_continue_approved_v1.png,996DC33E6F62AF6EB3784371444FF5B681B042F121CC26B5713E25956E9C143B,1080×1920,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
lia_world3_idle_v01.png,public/assets/gvo/current-used/world-3-root/lia/lia_world3_idle_v01.png,0FC7473633449418A3479457B4A4F237C6F5F64E87F631674DBA94BF535EE37D,1024×1024,yes,World3LiaActor,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
lia_world3_pointing_v01.png,public/assets/gvo/current-used/world-3-root/lia/lia_world3_pointing_v01.png,51780FAF17A5AB2566D0264698F61115BE1D01745D73BEB52D4F6D10397952CA,1024×1024,yes,World3LiaActor,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
lia_world3_closure_v01.png,public/assets/gvo/current-used/world-3-root/lia/lia_world3_closure_v01.png,C82EF8E9334FA5BF5359FFC4303A7D60514B29AE6785D37FADC0613812DF2AFB,1024×1024,yes,World3LiaActor,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
lia_world5_lead_forward_v01.webp,public/assets/gvo/current-used/world-5-root/lia/lia_world5_lead_forward_v01.webp,58696A77F16BDE395FB093771790377F3B44FC788FF9D1B661080E92806A009E,1536×1536,yes,World5RootScreen,Manifest ST5-020G; fuente local registrada,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
lia_world5_attend_neutral_v01.webp,public/assets/gvo/current-used/world-5-root/lia/lia_world5_attend_neutral_v01.webp,BFD5C5E3EB4DE9B9A908C6DAA7730EA9005AF912ABB58CE735C81DDCAA451316,1536×1536,yes,World5RootScreen,Manifest ST5-020G; fuente local registrada,PENDIENTE_DE_PRUEBA,PENDIENTE_DE_APROBACIÓN_HUMANA,F,CONDICIONAL; ticket y aprobación explícita,Mezcla de cámara/estilo o semántica del consumidor original
world1_root_background_base_approved_v1.png,public/assets/gvo/current-used/world-1-root/background/world1_root_background_base_approved_v1.png,E22E5D7E7ECBEAA03B820FC94E70B7F31903F666E6FD29CAE20AC5C4F198526E,941×1672,no,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world1_root_young_plant_approved_v1.png,public/assets/gvo/current-used/world-1-root/plant/world1_root_young_plant_approved_v1.png,DCA068C4BF01DAA907B98EAB6A64C7810C4B87E479B10CBB133CDA5492C6D10A,798×987,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world1_root_roots_base_approved_v1.png,public/assets/gvo/current-used/world-1-root/roots/world1_root_roots_base_approved_v1.png,FB47E049D43CE1FA0354FF9133E4F873B1095117496768B30168C9AA07E0F662,941×1672,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world1_root_node_state_kit_approved_v1.png,public/assets/gvo/current-used/world-1-root/nodes/world1_root_node_state_kit_approved_v1.png,7685D15AD22EE87419201579610E70CECF4971D52793C27895BB16EA4380410C,941×1672,yes,World1RootScreen,Manifest W1; fuente local Downloads/MUNDO1,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world2_main_living_plant_v01.png,public/assets/gvo/current-used/world-2-root/plant/world2_main_living_plant_v01.png,1BF0B6DF13162407AC6DA1CF2895D5E3DEDB08B78BAE62F9154425DE9F7F178F,1400×2200,yes,world2RuntimeAssets/World2RootScreen,Copiado desde Descargas según README; path/licencia exactos NO DOCUMENTADOS,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world2_raw_bioelectric_waveform_v01.png,public/assets/gvo/current-used/world-2-root/signal/world2_raw_bioelectric_waveform_v01.png,9403CD167B62FDD5E40D522743EF73D5312709F6C0D16808809D1D3EB057E617,1600×900,yes,world2RuntimeAssets/World2RootScreen,Copiado desde Descargas según README; path/licencia exactos NO DOCUMENTADOS,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world2_signal_mapping_constellation_v01.png,public/assets/gvo/current-used/world-2-root/route/world2_signal_mapping_constellation_v01.png,3B42DEDCAF495B6F06D347FD4321D5E92CB07865D8C7EB820039E68A5CC47B7F,1400×1400,yes,world2RuntimeAssets/World2RootScreen,Copiado desde Descargas según README; path/licencia exactos NO DOCUMENTADOS,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world2_pulse_core_node_v01.png,public/assets/gvo/current-used/world-2-root/signal/world2_pulse_core_node_v01.png,ABA5E43C27271DBE48C939AA5E26E64BF3EBD39F5F06E85B0FB11EB9B0E8B64C,1024×1024,yes,world2RuntimeAssets/World2RootScreen,Copiado desde Descargas según README; path/licencia exactos NO DOCUMENTADOS,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
world3_notebook_open_base_v01.png,public/assets/gvo/current-used/world-3-root/notebook/world3_notebook_open_base_v01.png,3ABF81F4772302CB7A38B9C428C104951E35D087FF1F5989C55468DDEC31D0F3,1536×1024,yes,World3RootScreen,W3 runtime aprobado; licencia específica NO DOCUMENTADA,SÍ COMO FUENTE DE REFERENCIA; NO COMO PROMOCIÓN AUTOMÁTICA,REFERENCIA ÚNICAMENTE,B,NO para binario; generar asset específico del Mirador,Copiar literalmente o duplicar un binario de otro mundo
