pending_group,screen,station,priority,reason,suggested_asset_name,covered_by_current_asset_until_mockup
final_credits,Pantalla final — Mirador,mirador_final,baja,"Mirador final requiere estados específicos para revisión libre, reinicio o créditos.",gvo_atlas_tanda_3_final_credits.png,gvo_atlas_006c_209_ref_pantalla_final_mirador.png
final_restart_confirm,Pantalla final — Mirador,mirador_final,media,"Mirador final requiere estados específicos para revisión libre, reinicio o créditos.",gvo_atlas_tanda_3_final_restart_confirm.png,gvo_atlas_006c_209_ref_pantalla_final_mirador.png
final_review_free,Pantalla final — Mirador,mirador_final,alta,"Mirador final requiere estados específicos para revisión libre, reinicio o créditos.",gvo_atlas_tanda_3_final_review_free.png,gvo_atlas_006c_209_ref_pantalla_final_mirador.png
w3_ajustado_complete,Estación III — Cuaderno Pixel,mundo_iii_cuaderno_pixel,media,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.,gvo_atlas_tanda_2_w3_ajustado_complete.png,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png
w3_block_locked,Estación III — Cuaderno Pixel,mundo_iii_cuaderno_pixel,media,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.,gvo_atlas_tanda_2_w3_block_locked.png,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png
w3_planta_review,Estación III — Cuaderno Pixel,mundo_iii_cuaderno_pixel,media,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.,gvo_atlas_tanda_2_w3_planta_review.png,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png
w3_prototipo_review,Estación III — Cuaderno Pixel,mundo_iii_cuaderno_pixel,media,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.,gvo_atlas_tanda_2_w3_prototipo_review.png,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png
w3_senal_review,Estación III — Cuaderno Pixel,mundo_iii_cuaderno_pixel,media,Mundo III usa referencia base; el Atlas final requiere representar revisión y cierre con mayor precisión.,gvo_atlas_tanda_2_w3_senal_review.png,gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png
w4_complete,Estación IV — Mesa de Sistema,mundo_iv_mesa_sistema,media,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial.",gvo_atlas_tanda_3_w4_complete.png,gvo_atlas_006c_207_ref_estacion_iv_mesa_sistema.png
w4_node_chain_overview,Estación IV — Mesa de Sistema,mundo_iv_mesa_sistema,media,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial.",gvo_atlas_tanda_2_w4_node_chain_overview.png,gvo_atlas_006c_207_ref_estacion_iv_mesa_sistema.png
w4_node_locked,Estación IV — Mesa de Sistema,mundo_iv_mesa_sistema,media,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial.",gvo_atlas_tanda_3_w4_node_locked.png,gvo_atlas_006c_207_ref_estacion_iv_mesa_sistema.png
w4_technical_node_active,Estación IV — Mesa de Sistema,mundo_iv_mesa_sistema,alta,"Mundo IV requiere separar vista general, nodos técnicos, bloqueo y cierre para lectura editorial.",gvo_atlas_tanda_2_w4_technical_node_active.png,gvo_atlas_006c_207_ref_estacion_iv_mesa_sistema.png
w5_area_active,Estación V — Mapa del Presente,mundo_v_mapa_presente,alta,Mundo V requiere diferenciar áreas activas y cierre del mapa del presente.,gvo_atlas_tanda_3_w5_area_active.png,gvo_atlas_006c_208_ref_estacion_v_mapa_presente.png
w5_area_locked,Estación V — Mapa del Presente,mundo_v_mapa_presente,baja,Mundo V requiere diferenciar áreas activas y cierre del mapa del presente.,gvo_atlas_tanda_3_w5_area_locked.png,gvo_atlas_006c_208_ref_estacion_v_mapa_presente.png
w5_complete,Estación V — Mapa del Presente,mundo_v_mapa_presente,media,Mundo V requiere diferenciar áreas activas y cierre del mapa del presente.,gvo_atlas_tanda_3_w5_complete.png,gvo_atlas_006c_208_ref_estacion_v_mapa_presente.png
