file_id,source_path,filename,bytes,sha256,format,mode,canvas,frame,bbox,visible_width,visible_height,visible_height_percent,center_x,center_y,baseline,margin_left,margin_top,margin_right,margin_bottom,edge_contacts,safe16,cropped,identity_consistency,eyes_state,f6_to_f1,classification
I17-PNG,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.png,final_lia_idle_contemplative_6f_v01.png,509870,6636C67A147CCA18F6FCCC44845D7C4ACB290207DA535EFA8B51A9F9B5AD8D07,PNG,RGBA,1536x256,1,"[0,0,256,256]",256,256,100.0,79.42,131.93,255,0,0,0,0,"left,top,right,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,INCOMPATIBLE,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-PNG,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.png,final_lia_idle_contemplative_6f_v01.png,509870,6636C67A147CCA18F6FCCC44845D7C4ACB290207DA535EFA8B51A9F9B5AD8D07,PNG,RGBA,1536x256,2,"[0,0,256,256]",256,256,100.0,72.93,132.58,255,0,0,0,0,"left,top,right,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-PNG,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.png,final_lia_idle_contemplative_6f_v01.png,509870,6636C67A147CCA18F6FCCC44845D7C4ACB290207DA535EFA8B51A9F9B5AD8D07,PNG,RGBA,1536x256,3,"[0,0,241,256]",241,256,100.0,92.64,133.45,255,0,0,15,0,"left,top,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-PNG,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.png,final_lia_idle_contemplative_6f_v01.png,509870,6636C67A147CCA18F6FCCC44845D7C4ACB290207DA535EFA8B51A9F9B5AD8D07,PNG,RGBA,1536x256,4,"[4,0,253,256]",249,256,100.0,131.86,133.22,255,4,0,3,0,"top,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-PNG,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.png,final_lia_idle_contemplative_6f_v01.png,509870,6636C67A147CCA18F6FCCC44845D7C4ACB290207DA535EFA8B51A9F9B5AD8D07,PNG,RGBA,1536x256,5,"[4,0,256,256]",252,256,100.0,179.69,133.31,255,4,0,0,0,"top,right,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-PNG,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.png,final_lia_idle_contemplative_6f_v01.png,509870,6636C67A147CCA18F6FCCC44845D7C4ACB290207DA535EFA8B51A9F9B5AD8D07,PNG,RGBA,1536x256,6,"[0,0,256,256]",256,256,100.0,187.25,131.51,255,0,0,0,0,"left,top,right,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,INCOMPATIBLE,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-WEBP,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.webp,final_lia_idle_contemplative_6f_v01.webp,124022,92AF06EE8C4F1F43AE7DA10FF8E2615DB1C3A336F7D28096B80655F94C14425F,WEBP,RGBA,1536x256,1,"[0,0,256,256]",256,256,100.0,79.42,131.93,255,0,0,0,0,"left,top,right,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,INCOMPATIBLE,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-WEBP,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.webp,final_lia_idle_contemplative_6f_v01.webp,124022,92AF06EE8C4F1F43AE7DA10FF8E2615DB1C3A336F7D28096B80655F94C14425F,WEBP,RGBA,1536x256,2,"[0,0,256,256]",256,256,100.0,72.93,132.58,255,0,0,0,0,"left,top,right,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-WEBP,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.webp,final_lia_idle_contemplative_6f_v01.webp,124022,92AF06EE8C4F1F43AE7DA10FF8E2615DB1C3A336F7D28096B80655F94C14425F,WEBP,RGBA,1536x256,3,"[0,0,241,256]",241,256,100.0,92.64,133.45,255,0,0,15,0,"left,top,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
I17-WEBP,C:\Users\JOSE DAVID\Downloads\I17\final_lia_idle_contemplative_6f_v01.webp,final_lia_idle_contemplative_6f_v01.webp,124022,92AF06EE8C4F1F43AE7DA10FF8E2615DB1C3A336F7D28096B80655F94C14425F,WEBP,RGBA,1536x256,4,"[4,0,253,256]",249,256,100.0,131.86,133.22,255,4,0,3,0,"top,bottom",FAIL,YES,UNAPPROVABLE_DUE_TO_CROP_SCALE_AND_FRAME_REINTERPRETATION,OPEN_NO_CONTRACTUAL_BLINK,N/A,REJECTED_PRODUCTION_CANDIDATE / NOT_RUNTIME / DO_NOT_REPAIR
